index,stop_name,stop_lat,stop_lon
0,S Blankenfelde (TF) Bhf,52.337628,13.415908
1,S Mahlow,52.360164,13.408775
2,"Berlin, Goltzstr./Lichtenrader Damm",52.387122,13.409121
3,"Berlin, Mariendorfer Damm/Buckower Chaussee",52.414567,13.401117
4,U Alt-Mariendorf  ,52.438965,13.387611
5,S Priesterweg ,52.459239,13.356028
6,S Charlottenburg Bhf ,52.504805,13.303843
7,S Westkreuz ,52.501152,13.283036
8,S Olympiastadion ,52.511135,13.241111
9,S Teltow Stadt,52.397147,13.275975
10,S Lichterfelde Süd ,52.409956,13.308662
11,S Osdorfer Str. ,52.418373,13.313865
12,S Lichterfelde Ost Bhf ,52.429098,13.328078
13,S Lankwitz ,52.439034,13.34276
14,S Südende ,52.448899,13.354077
15,S Südkreuz Bhf ,52.475468,13.365579
16,S+U Yorckstr. S2 S25 S26 U7 ,52.492323,13.372226
17,S Anhalter Bahnhof ,52.504538,13.382077
18,S+U Potsdamer Platz Bhf ,52.50934,13.376454
19,S+U Brandenburger Tor ,52.516511,13.381937
20,S+U Friedrichstr. Bhf ,52.52027,13.387153
21,S Oranienburger Str. ,52.525161,13.393068
22,S Nordbahnhof ,52.531672,13.388798
23,S Humboldthain ,52.544738,13.37873
24,S+U Gesundbrunnen Bhf ,52.548637,13.388372
25,S Bornholmer Str. ,52.554763,13.397841
26,S Wollankstr. ,52.564974,13.39315
27,S Schönholz ,52.571901,13.380242
28,S Wilhelmsruh ,52.581588,13.363284
29,S+U Wittenau ,52.596392,13.335481
30,S Waidmannslust ,52.606814,13.320549
31,S Köpenick ,52.458692,13.579543
32,S Wuhlheide ,52.469058,13.553527
33,S Karlshorst ,52.481038,13.525981
34,S Betriebsbahnhof Rummelsburg ,52.493957,13.497509
35,S Rummelsburg ,52.501213,13.478699
36,S Ostkreuz Bhf ,52.502851,13.469093
37,S+U Warschauer Str. ,52.505765,13.449159
38,S Ostbahnhof ,52.510001,13.435747
39,S Ahrensfelde Bhf ,52.571564,13.566118
40,S Mehrower Allee ,52.557816,13.554392
41,S Raoul-Wallenberg-Str. ,52.550749,13.548392
42,S Marzahn ,52.543272,13.541524
43,S Poelchaustr. ,52.534751,13.536008
44,S Springpfuhl ,52.525806,13.536904
45,S Friedrichsfelde Ost ,52.513747,13.520043
46,S+U Lichtenberg Bhf ,52.510754,13.498228
47,S Nöldnerplatz ,52.503444,13.484297
48,S+U Wedding ,52.542732,13.36606
49,S+U Westhafen ,52.536183,13.343837
50,U Turmstr. ,52.525938,13.341417
51,S Beusselstr. ,52.534314,13.328703
52,S+U Jungfernheide Bhf ,52.530431,13.300135
53,S Westend ,52.51861,13.284237
54,S Grünau ,52.412714,13.574018
55,S Adlershof ,52.435102,13.540553
56,S Betriebsbahnhof Schöneweide ,52.446695,13.524028
57,S Schöneweide Bhf ,52.454611,13.510149
58,S Baumschulenweg ,52.467581,13.489505
59,S Plänterwald ,52.478722,13.474029
60,S Treptower Park ,52.493022,13.460887
61,S+U Frankfurter Allee ,52.513613,13.4753
62,S Storkower Str. ,52.524195,13.464884
63,S Landsberger Allee ,52.528772,13.455944
64,S Greifswalder Str. ,52.540724,13.438356
65,S Prenzlauer Allee ,52.544802,13.427419
66,S+U Schönhauser Allee ,52.549336,13.415138
67,S+U Pankow ,52.567281,13.412279
68,S Köllnische Heide ,52.469168,13.467529
69,S+U Neukölln ,52.469282,13.443692
70,S+U Hermannstr. ,52.467181,13.431704
71,S+U Tempelhof ,52.470694,13.385754
72,S Wartenberg ,52.573266,13.504238
73,S Hohenschönhausen Bhf ,52.566549,13.513698
74,"Berlin, Klettwitzer Str.",52.555996,13.530587
75,"Berlin, Grevesmühlener Str.",52.567875,13.51401
76,S Mahlsdorf  ,52.51192,13.612563
77,S Birkenstein,52.515755,13.648591
78,S Hoppegarten,52.518141,13.673889
79,S Neuenhagen,52.520674,13.699994
80,S Fredersdorf,52.526461,13.761324
81,S Petershagen Nord,52.529185,13.790627
82,S Strausberg Bhf,52.532364,13.834793
83,"Strausberg, Am Annatal",52.550111,13.863238
84,S Strausberg Stadt,52.57745,13.888254
85,S Strausberg Nord,52.5907,13.908894
86,S Hermsdorf ,52.618165,13.306804
87,S Frohnau ,52.632958,13.289564
88,S Hohen Neuendorf,52.669438,13.287223
89,S Birkenwerder Bhf,52.687867,13.288418
90,S Borgsdorf,52.714491,13.276771
91,S Lehnitz,52.741273,13.263191
92,S Oranienburg Bhf,52.754362,13.248432
93,S Wannsee Bhf ,52.421457,13.179099
94,S Nikolassee ,52.43121,13.193298
95,S Schlachtensee ,52.439806,13.213986
96,S Mexikoplatz ,52.437166,13.23206
97,S Zehlendorf ,52.431209,13.259227
98,S Sundgauer Str. ,52.436187,13.273501
99,S Lichterfelde West ,52.443512,13.294141
100,S Botanischer Garten ,52.447552,13.306041
101,S+U Rathaus Steglitz ,52.455066,13.322152
102,S Feuerbachstr. ,52.463578,13.332412
103,S Friedenau ,52.470002,13.340598
104,S Schöneberg ,52.479811,13.352848
105,S Julius-Leber-Brücke ,52.486263,13.360775
106,S+U Yorckstr. S1 U7 ,52.492345,13.367986
107,S Flughafen Berlin-Schönefeld Bhf,52.390792,13.513522
108,S Grünbergallee ,52.399539,13.543222
109,S Altglienicke ,52.407791,13.559602
110,S Pankow-Heinersdorf ,52.577603,13.42909
111,S Buch ,52.636614,13.492452
112,S Röntgental,52.649062,13.514302
113,S Zepernick,52.659218,13.533143
114,"Bernau, Abzweig Wohnsiedlung",52.669124,13.56074
115,"Bernau, Zepernicker Chaussee",52.671809,13.564055
116,S Bernau Bhf,52.676233,13.593034
117,"Berlin, Bucher Chaussee/Achillesstr.",52.61807,13.487715
118,S Karow Bhf ,52.615755,13.470081
119,S Lichtenrade ,52.387676,13.396234
120,S Schichauweg ,52.398563,13.389457
121,S Buckower Chaussee ,52.410919,13.382689
122,S Marienfelde ,52.423816,13.375022
123,S Attilastr. ,52.447298,13.361177
124,S Spindlersfeld ,52.445938,13.562701
125,S Oberspree ,52.452269,13.538461
126,S Messe Nord/ICC ,52.506454,13.283043
127,S Halensee ,52.496698,13.290151
128,S Hohenzollerndamm ,52.488337,13.300714
129,S+U Heidelberger Platz ,52.479446,13.311843
130,S+U Bundesplatz ,52.477366,13.329149
131,S+U Innsbrucker Platz ,52.4781,13.342875
132,S Sonnenallee ,52.473843,13.455986
133,S Blankenburg ,52.591069,13.442972
134,S+U Jannowitzbrücke ,52.5155,13.418027
135,S+U Alexanderplatz Bhf ,52.521512,13.411267
136,S Hackescher Markt ,52.522607,13.402358
137,S+U Berlin Hauptbahnhof,52.525847,13.368924
138,S Bellevue ,52.519951,13.347098
139,S Tiergarten ,52.513959,13.336241
140,S+U Zoologischer Garten Bhf ,52.506921,13.332707
141,S Savignyplatz ,52.505223,13.319003
142,S Messe Süd ,52.498771,13.27045
143,S Heerstr. ,52.508273,13.258514
144,S Pichelsberg ,52.510264,13.227196
145,S Stresow ,52.532505,13.20913
146,S Spandau Bhf ,52.534798,13.197477
147,S Mühlenbeck-Mönchmühle,52.654076,13.388224
148,S Schönfließ,52.66471,13.33888
149,S Bergfelde,52.669695,13.321455
150,S Zeuthen,52.349649,13.627353
151,S Eichwalde,52.372085,13.614966
152,S Gehrenseestr. ,52.555736,13.525653
153,S Grunewald ,52.48868,13.261944
154,S Griebnitzsee Bhf,52.393945,13.128808
155,S Babelsberg,52.391367,13.094631
156,S Potsdam Hauptbahnhof,52.390935,13.067187
157,S Mahlsdorf Bhf ,52.512118,13.61123
158,S+U Wuhletal ,52.512724,13.574536
159,S Kaulsdorf ,52.512122,13.58903
160,S Hegermühle,52.549039,13.86679
161,S Biesdorf ,52.513059,13.555035
162,S Erkner Bhf,52.428396,13.752249
163,S Wilhelmshagen ,52.438571,13.721004
164,S Rahnsdorf ,52.451371,13.691655
165,S Friedrichshagen ,52.45709,13.625462
166,S Hirschgarten ,52.457903,13.60148
167,S Königs Wusterhausen Bhf,52.296719,13.631534
168,S Wildau,52.319205,13.633587
169,S Alt-Reinickendorf ,52.577969,13.349747
170,S+U Karl-Bonhoeffer-Nervenklinik ,52.578169,13.332921
171,S Eichborndamm ,52.577545,13.315583
172,S Tegel ,52.588805,13.288695
173,S Schulzendorf ,52.613513,13.24563
174,S Heiligensee ,52.625148,13.228667
175,S Hennigsdorf Bhf,52.637867,13.205874
176,S Bernau-Friedenstal,52.668369,13.564597
177,U Osloer Str. ,52.557107,13.373279
178,U Nauener Platz ,52.551524,13.367365
179,U Leopoldplatz ,52.546493,13.359395
180,U Amrumer Str. ,52.542202,13.349534
181,U Birkenstr. ,52.532229,13.341417
182,U Hansaplatz ,52.518111,13.342165
183,U Kurfürstendamm ,52.503763,13.331419
184,U Spichernstr. ,52.496582,13.330613
185,U Güntzelstr. ,52.491992,13.33121
186,U Berliner Str. ,52.487047,13.331355
187,U Friedrich-Wilhelm-Platz ,52.471439,13.328676
188,U Walther-Schreiber-Platz ,52.464998,13.328409
189,U Schloßstr. ,52.461183,13.324836
190,S+U Rathaus Steglitz  ,52.456438,13.319986
191,S+U Wittenau  ,52.595665,13.334648
192,U Rathaus Reinickendorf ,52.588218,13.325568
193,U Lindauer Allee ,52.575394,13.339047
194,U Paracelsus-Bad ,52.574534,13.347532
195,U Residenzstr. ,52.570843,13.360635
196,U Franz-Neumann-Platz ,52.563854,13.364283
197,U Pankstr. ,52.552255,13.381837
198,U Voltastr. ,52.54193,13.393157
199,U Bernauer Str. ,52.537994,13.396231
200,U Rosenthaler Platz ,52.529781,13.401393
201,U Weinmeisterstr. ,52.525376,13.405305
202,S+U Alexanderplatz  ,52.521619,13.412125
203,U Heinrich-Heine-Str. ,52.510858,13.416169
204,U Moritzplatz ,52.503739,13.410947
205,U Kottbusser Tor ,52.499047,13.417748
206,U Schönleinstr. ,52.493179,13.422241
207,U Hermannplatz ,52.486957,13.42472
208,U Boddinstr. ,52.479745,13.425782
209,U Leinestr. ,52.472874,13.4284
210,S+U Rathaus Spandau ,52.535798,13.199891
211,U Altstadt Spandau ,52.539161,13.206763
212,U Zitadelle ,52.537522,13.217625
213,U Haselhorst ,52.538718,13.232309
214,U Paulsternstr. ,52.538098,13.248593
215,U Rohrdamm ,52.536904,13.26287
216,U Siemensdamm ,52.537026,13.273323
217,U Halemweg ,52.536703,13.286578
218,U Jakob-Kaiser-Platz ,52.536985,13.293661
219,U Mierendorffplatz ,52.525978,13.305715
220,U Richard-Wagner-Platz ,52.517154,13.307221
221,U Bismarckstr. ,52.511543,13.305335
222,U Wilmersdorfer Str. ,52.506415,13.306774
223,U Adenauerplatz ,52.500086,13.307348
224,U Konstanzer Str. ,52.493567,13.310084
225,U Fehrbelliner Platz ,52.490201,13.314519
226,U Blissestr. ,52.486478,13.320545
227,U Bayerischer Platz ,52.488654,13.340237
228,U Eisenacher Str. ,52.489477,13.350284
229,U Kleistpark ,52.490845,13.360917
230,S+U Yorckstr. ,52.492766,13.370429
231,U Möckernbrücke ,52.498944,13.383256
232,U Mehringdamm ,52.493567,13.38814
233,U Gneisenaustr. ,52.491252,13.395382
234,U Südstern ,52.489219,13.407685
235,U Rathaus Neukölln ,52.481146,13.434807
236,U Karl-Marx-Str. ,52.476429,13.439805
237,S+U Neukölln  ,52.468764,13.441909
238,U Grenzallee ,52.463516,13.444828
239,U Blaschkoallee ,52.452743,13.448976
240,U Parchimer Allee ,52.445299,13.449967
241,U Britz-Süd ,52.437076,13.447668
242,U Johannisthaler Chaussee ,52.429253,13.453851
243,U Lipschitzallee ,52.424645,13.463109
244,U Wutzkyallee ,52.423152,13.47482
245,U Zwickauer Damm ,52.423032,13.484371
246,U Rudow ,52.415714,13.496527
247,"Berlin, Johannisthaler Chaussee/Fritz-Erler-Allee",52.43172,13.460064
248,"Berlin, Lipschitzallee/Fritz-Erler-Allee",52.427728,13.468151
249,"Berlin, Wutzkyallee/Fritz-Erler-Allee",52.425678,13.474022
250,"Berlin, Neuköllner Str./Zwickauer Damm",52.424097,13.485451
251,"Berlin, Buschkrug",52.452542,13.452162
252,"Berlin, Buschkrugallee/Parchimer Allee",52.445436,13.45487
253,"Berlin, Grüner Weg/Gutschmidtstr.",52.43704,13.451372
254,U Grenzallee/Jahnstr. ,52.461654,13.445664
255,U Alt-Tegel ,52.589649,13.283821
256,U Borsigwerke ,52.582139,13.290122
257,U Holzhauser Str. ,52.576252,13.295083
258,U Otisstr. ,52.571122,13.303074
259,U Scharnweberstr. ,52.567111,13.311524
260,U Kurt-Schumacher-Platz ,52.563483,13.327328
261,U Afrikanische Str. ,52.560862,13.333502
262,U Rehberge ,52.55667,13.341013
263,U Seestr. ,52.55047,13.351969
264,U Reinickendorfer Str. ,52.539895,13.370393
265,U Schwartzkopffstr. ,52.535397,13.377033
266,U Naturkundemuseum ,52.531254,13.382415
267,U Oranienburger Tor ,52.525163,13.387587
268,U Französische Str. ,52.51477,13.389208
269,U Stadtmitte ,52.511495,13.389719
270,U Kochstr./Checkpoint Charlie ,52.506673,13.390863
271,U Hallesches Tor ,52.497774,13.39176
272,U Platz der Luftbrücke ,52.485669,13.387799
273,U Paradestr. ,52.478142,13.386725
274,U Alt-Tempelhof ,52.46593,13.385796
275,U Kaiserin-Augusta-Str. ,52.460512,13.384905
276,U Ullsteinstr. ,52.45345,13.384771
277,U Westphalweg ,52.445801,13.385561
278,U Alt-Mariendorf ,52.439641,13.387456
279,U Bundestag ,52.519908,13.373454
280,U Hellersdorf ,52.535946,13.605794
281,U Cottbusser Platz ,52.533963,13.596894
282,U Kienberg (Gärten der Welt) ,52.52849,13.59055
283,U Kaulsdorf-Nord ,52.521436,13.588763
284,U Elsterwerdaer Platz ,52.504643,13.560762
285,U Biesdorf-Süd ,52.499517,13.547326
286,U Tierpark ,52.497236,13.523626
287,U Friedrichsfelde ,52.505464,13.513544
288,S+U Lichtenberg  ,52.511135,13.498495
289,U Magdalenenstr. ,52.512214,13.489439
290,U Samariterstr. ,52.514662,13.465347
291,U Frankfurter Tor ,52.515772,13.454085
292,U Weberwiese ,52.516848,13.443278
293,U Strausberger Platz ,52.518025,13.432208
294,U Schillingstr. ,52.520316,13.421895
295,U Hönow ,52.538105,13.634541
296,U Louis-Lewin-Str. ,52.539135,13.619707
297,U Nollendorfplatz ,52.499644,13.353825
298,U Viktoria-Luise-Platz ,52.496169,13.343264
299,U Rathaus Schöneberg ,52.483332,13.341989
300,U Schlesisches Tor ,52.501147,13.441791
301,U Görlitzer Bahnhof ,52.499035,13.428468
302,U Prinzenstr. ,52.498274,13.406531
303,U Gleisdreieck ,52.499587,13.374293
304,U Kurfürstenstr. ,52.499778,13.362857
305,U Wittenbergplatz ,52.502109,13.342561
306,U Augsburger Str. ,52.500557,13.336771
307,U Hohenzollernplatz ,52.493833,13.324051
308,U Rüdesheimer Platz ,52.472462,13.314387
309,U Breitenbachplatz ,52.467342,13.309276
310,U Bülowstr. ,52.497627,13.362456
311,U Podbielskiallee ,52.464172,13.295203
312,U Dahlem-Dorf ,52.457695,13.290011
313,U Freie Universität (Thielplatz) ,52.451,13.281651
314,U Oskar-Helene-Heim ,52.450419,13.26891
315,U Onkel Toms Hütte ,52.450146,13.254016
316,U Krumme Lanke ,52.442615,13.24036
317,U Vinetastr. ,52.559517,13.41377
318,U Eberswalder Str. ,52.541022,13.412154
319,U Senefelderplatz ,52.532622,13.412625
320,U Rosa-Luxemburg-Platz ,52.528191,13.410405
321,U Klosterstr. ,52.517229,13.412455
322,U Märkisches Museum ,52.512007,13.408767
323,U Spittelmarkt ,52.511301,13.402352
324,U Hausvogteiplatz ,52.513361,13.395346
325,"Berlin, U Stadtmitte U2",52.512169,13.389711
326,U Mohrenstr. ,52.511519,13.383798
327,S+U Potsdamer Platz (Bln) ,52.509071,13.377977
328,U Mendelssohn-Bartholdy-Park ,52.503806,13.374719
329,U Ernst-Reuter-Platz ,52.511582,13.322581
330,U Deutsche Oper ,52.511827,13.30942
331,U Sophie-Charlotte-Platz ,52.51097,13.297463
332,U Kaiserdamm ,52.509985,13.281695
333,"Berlin, U Theodor-Heuss-Platz",52.509798,13.272977
334,U Neu-Westend ,52.516409,13.25991
335,U Olympia-Stadion ,52.517048,13.2505
336,U Ruhleben ,52.525587,13.241902
337,U Uhlandstr. ,52.502742,13.326233
